q1,q2,q3,q4,q5,q6,desired_q1,desired_q2,desired_q3,desired_q4,desired_q5,desired_q6
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.010004835585169168,0.015007253377753754,0.008003868468135335,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.020008669693899427,0.03001300454084914,0.016006935755119543,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.030010500949998905,0.045015751424998356,0.024008400759999125,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.04000932817775974,0.060013992266639615,0.03200746254220779,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.05000415050217504,0.07500622575326256,0.04000332040174004,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0599939674491257,0.08999095117368855,0.04799517395930056,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.06997777904552707,0.10496666856829061,0.05598222323642166,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.07995458591942553,0.1199318788791383,0.06396366873554042,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0899233894000349,0.13488508410005234,0.07193871152002793,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.09988319161770254,0.1498247874265538,0.07990655329416203,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1098329956037954,0.16474949340569311,0.08786639648303633,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.11977180539049584,0.17965770808574377,0.09581744431239668,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.12969862611049715,0.19454793916574573,0.10375890088839773,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.13961246409658923,0.20941869614488384,0.11168997127727139,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.14951232698112357,0.22426849047168534,0.11960986158489886,0
